transaction_id,date,libelle_brut,montant,merchant,payment_channel,transaction_type,recurring,income_flag,normalized_description
TXN000044,2025-09-09,CHIPOTLE CALEBVILLE UT,-91.0,Chipotle,Card POS,Purchase,False,False,Chipotle Restaurant
TXN000045,2025-09-10,DUNKIN GREGORYSIDE NH,-410.36,Unknown,Unknown,Unknown,False,False,Unknown
TXN000046,2025-09-10,MCDS SOUTH,-411.92,McDonald's,Card POS,Purchase,True,False,McDonald's Fast Food
TXN000047,2025-09-11,MCD #61EG3V,-135.4,McDonald's,Card POS,Purchase,True,False,McDonald's Fast Food
TXN000048,2025-09-11,CASH WITHDRAWAL CHASE 50552,-80.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000049,2025-09-11,SUBWAY SANTIAGOVIEW OH,-129.67,Unknown,Unknown,Unknown,False,False,Unknown
TXN000050,2025-09-12,CASH WITHDRAWAL WELLS FARGO 16044,-200.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000051,2025-09-13,CHIPOTLE EAST GA,-145.26,Chipotle,Card POS,Purchase,False,False,Chipotle Restaurant
TXN000052,2025-09-14,AT&T PAYMENT 50522,-126.52,AT&T,Transfer,Direct Debit,True,False,AT&T Phone
TXN000053,2025-09-15,MCDS WEST,-63.32,McDonald's,Card POS,Purchase,False,False,McDonald's Fast Food
TXN000054,2025-09-15,CAR LOAN PAYMENT CITIBANK NOV,-109.4,Bank,Transfer,Direct Debit,True,False,Bank Car Loan
TXN000055,2025-09-16,CASH WITHDRAWAL CHASE 46169,-40.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000056,2025-09-17,CON EDISON 19695,-108.06,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000057,2025-09-18,SOUTHWEST AIR U97SPX,-327.66,Delta Airlines,Card Online,Purchase,False,False,Delta Airlines Flight
TXN000058,2025-09-19,TECH CORP PAYROLL FEB,1041.87,Employer,Transfer,Income,True,True,Employer Salary
TXN000059,2025-09-20,IKEA ANDREWMOUTH IL,-193.89,Unknown,Unknown,Unknown,False,False,Unknown
TXN000060,2025-09-20,AT&T PAYMENT 42249,-48.65,AT&T,Transfer,Direct Debit,True,False,AT&T Phone
TXN000061,2025-09-21,MCDONALD'S LAKE LA,-487.35,McDonald's,Card POS,Purchase,False,False,McDonald's Fast Food
TXN000062,2025-09-22,CASH WITHDRAWAL CHASE 35239,-100.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000063,2025-09-22,CON EDISON 50014,-13.9,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000064,2025-09-22,ETSY INC 17OKI1 83134,-475.22,Etsy,Card Online,Purchase,True,False,Etsy E-commerce
TXN000065,2025-09-23,ATM WITHDRAWAL US BANK NORTH WI,-100.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000066,2025-09-25,EXXON NEW WY,-96.33,Unknown,Unknown,Unknown,False,False,Unknown
TXN000067,2025-09-26,NF-LX DIGITAL 72157,-80.08,Unknown,Unknown,Unknown,False,False,Unknown
TXN000068,2025-09-27,WENDYS MARTINSIDE MP,-173.37,Unknown,Unknown,Unknown,False,False,Unknown
TXN000069,2025-09-28,UBER* SOUTH,-179.25,Uber,Card Online,Purchase,False,False,Uber Rideshare
TXN000070,2025-09-28,XBOX GAME PASS 11084,-93.75,Xbox,Card Online,Subscription,True,False,Xbox Gaming
TXN000071,2025-09-29,GLOBAL INC SAL FEB,953.62,Unknown,Unknown,Credit,False,False,Unknown
TXN000072,2025-09-29,VENMO *WILSON,846.68,Venmo,Transfer,Income,False,True,Venmo Freelance
TXN000073,2025-09-29,DISNEY PLUS US,-135.65,Disney+,Card Online,Subscription,True,False,Disney+ Streaming
TXN000074,2025-09-30,AMZN*PMXJWB 70571 USA,-329.43,Amazon,Card Online,Purchase,True,False,Amazon E-commerce
TXN000075,2025-10-02,EBAY INC UMTAG4 USA,-173.2,eBay,Card Online,Purchase,False,False,eBay E-commerce
TXN000076,2025-10-05,SPOTIFY AB 18.68,-122.18,Spotify,Card Online,Subscription,True,False,Spotify Music
TXN000077,2025-10-05,CHIPOTLE RICHARDSTAD RI,-48.28,Chipotle,Card POS,Purchase,False,False,Chipotle Restaurant
TXN000078,2025-10-06,NTFLX ONLINE UK,-5.78,Netflix,Card Online,Subscription,True,False,Netflix Streaming
TXN000079,2025-10-07,IKEA MARTHASHIRE NC,-116.6,Unknown,Unknown,Unknown,False,False,Unknown
TXN000080,2025-10-08,MCDS HOBBSVIEW,-293.87,McDonald's,Card POS,Purchase,True,False,McDonald's Fast Food
TXN000081,2025-10-08,YOUTUBE PREMIUM 52276,-11.31,YouTube Premium,Card Online,Subscription,True,False,YouTube Premium Streaming
TXN000082,2025-10-09,CHIPOTLE NORTH SC,-144.55,Chipotle,Card POS,Purchase,True,False,Chipotle Restaurant
TXN000083,2025-10-10,GRUBHUB NORTH,-262.96,Grubhub,Card Online,Purchase,True,False,Grubhub Delivery
TXN000084,2025-10-10,UNITED AIR XZ3P1W,-134.63,Delta Airlines,Card Online,Purchase,False,False,Delta Airlines Flight
TXN000085,2025-10-10,CON EDISON 50187,-103.63,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000086,2025-10-12,ATM WITHDRAWAL WELLS FARGO LAKE WV,-80.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000087,2025-10-15,YOUTUBE PREMIUM 18161,-24.8,YouTube Premium,Card Online,Subscription,True,False,YouTube Premium Streaming
TXN000088,2025-10-15,SOLUTIONS LLC SAL JUL,842.92,Unknown,Unknown,Credit,False,False,Unknown
TXN000089,2025-10-16,SP * SPOTIFY 97411,-132.65,Spotify,Card Online,Subscription,True,False,Spotify Music
TXN000090,2025-10-17,DISNEY PLUS US,-12.32,Disney+,Card Online,Subscription,True,False,Disney+ Streaming
TXN000091,2025-10-17,UNITED AIR NDMRPP,-23.81,Delta Airlines,Card Online,Purchase,False,False,Delta Airlines Flight
TXN000092,2025-10-17,ATM WITHDRAWAL CHASE ANDREWBURY OK,-80.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000093,2025-10-19,SOUTHWEST AIR QNPCRK,-364.47,Delta Airlines,Card Online,Purchase,False,False,Delta Airlines Flight
TXN000094,2025-10-20,SQ *COFFEE SOUTH,-213.55,Starbucks,Card POS,Purchase,True,False,Starbucks Coffee
TXN000095,2025-10-24,T-MOBILE NICHOLASTON IN,-14.78,Unknown,Unknown,Unknown,False,False,Unknown
TXN000096,2025-10-25,DIRECT DEP GLOBAL INC PAYROLL,1109.7,Employer,Transfer,Income,True,True,Employer Salary
TXN000097,2025-10-26,DUNKIN CHRISTIANFURT AS,-312.35,Unknown,Unknown,Unknown,False,False,Unknown
TXN000098,2025-10-26,HBO MAX 15737 USA,-109.59,HBO Max,Card Online,Subscription,True,False,HBO Max Streaming
TXN000099,2025-10-26,CASH WITHDRAWAL CITIBANK 94648,-40.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000100,2025-10-26,VERIZON COLEBERG LA,-112.21,Verizon,Transfer,Direct Debit,True,False,Verizon Phone
TXN000101,2025-10-27,SUBWAY WEST DC,-201.99,Unknown,Unknown,Unknown,False,False,Unknown
TXN000102,2025-10-28,BEST BUY AMYTOWN IN,-159.44,Best Buy,Card POS,Purchase,True,False,Best Buy Electronics
TXN000103,2025-10-29,AT&T PAYMENT 13554,-104.62,AT&T,Transfer,Direct Debit,True,False,AT&T Phone
TXN000104,2025-10-31,UBER WEST NM,-449.56,Uber,Card Online,Purchase,True,False,Uber Rideshare
TXN000105,2025-10-31,UE *FOOD ARTHURFURT,-448.89,McDonald's,Card POS,Purchase,True,False,McDonald's Fast Food
TXN000106,2025-10-31,AT&T PAYMENT 36852,-111.1,AT&T,Transfer,Direct Debit,True,False,AT&T Phone
TXN000107,2025-10-31,NETFLIX.COM DE,-116.84,Netflix,Card Online,Subscription,True,False,Netflix Streaming
TXN000108,2025-11-02,APPLE STORE NORMANMOUTH TN,-481.16,Apple Store,Card POS,Purchase,True,False,Apple Store Electronics
TXN000109,2025-11-03,GRUBHUB CHRISTINABURGH,-33.5,Grubhub,Card Online,Purchase,False,False,Grubhub Delivery
TXN000110,2025-11-05,CHEVRON NEW AS,-103.86,Unknown,Unknown,Unknown,False,False,Unknown
TXN000111,2025-11-07,GRUBHUB NORTH,-20.88,Grubhub,Card Online,Purchase,False,False,Grubhub Delivery
TXN000112,2025-11-08,WENDYS LAKE NE,-461.14,Unknown,Unknown,Unknown,False,False,Unknown
TXN000113,2025-11-09,VERIZON BRENTCHESTER PW,-132.48,Verizon,Transfer,Direct Debit,True,False,Verizon Phone
TXN000114,2025-11-11,SUBWAY LAKE AK,-78.39,Unknown,Unknown,Unknown,False,False,Unknown
TXN000115,2025-11-11,CASH WITHDRAWAL BANK OF AMERICA 95289,-120.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000116,2025-11-11,AMAZN 20108 USA,-289.64,Amazon,Card Online,Purchase,True,False,Amazon E-commerce
TXN000117,2025-11-12,CASH WITHDRAWAL CITIBANK 72195,-100.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000118,2025-11-14,SOUTHWEST AIR Z6YRWR,-412.82,Delta Airlines,Card Online,Purchase,True,False,Delta Airlines Flight
TXN000119,2025-11-15,COMCAST WEST OH,-130.57,Comcast,Transfer,Direct Debit,True,False,Comcast Internet
TXN000120,2025-11-16,COMCAST MATTHEWMOUTH MO,-63.53,Comcast,Transfer,Direct Debit,True,False,Comcast Internet
TXN000121,2025-11-16,MCDONALD'S CLAIREFURT PR,-100.55,McDonald's,Card POS,Purchase,False,False,McDonald's Fast Food
TXN000122,2025-11-16,IKEA MAYCHESTER MO,-250.13,Unknown,Unknown,Unknown,False,False,Unknown
TXN000123,2025-11-18,DOORDASH KAYLEECHESTER,-381.34,DoorDash,Card Online,Purchase,True,False,DoorDash Delivery
TXN000124,2025-11-21,CON EDISON 40178,-33.04,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000125,2025-11-22,CASH WITHDRAWAL US BANK 10529,-40.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000126,2025-11-23,SQ *COFFEE JONATHANSIDE,-300.91,Starbucks,Card POS,Purchase,True,False,Starbucks Coffee
TXN000127,2025-11-24,VERIZON LINDASTAD SD,-39.19,Verizon,Transfer,Direct Debit,True,False,Verizon Phone
TXN000128,2025-11-25,SPOTIFY AB 8.16,-41.59,Spotify,Card Online,Subscription,True,False,Spotify Music
TXN000129,2025-11-25,GRUBHUB EAST,-293.05,Grubhub,Card Online,Purchase,True,False,Grubhub Delivery
TXN000130,2025-11-27,ETSY INC IYXNNB 55726,-326.35,Etsy,Card Online,Purchase,True,False,Etsy E-commerce
TXN000131,2025-11-28,VENMO *PATRICK,1039.01,Venmo,Transfer,Income,False,True,Venmo Freelance
TXN000132,2025-11-28,COMCAST NEW SC,-98.67,Comcast,Transfer,Direct Debit,True,False,Comcast Internet
TXN000133,2025-11-28,T-MOBILE SHEAMOUTH ID,-93.79,Steam,Card Online,Purchase,False,False,Steam Gaming
TXN000134,2025-11-30,VERIZON WEST VI,-74.44,Verizon,Transfer,Direct Debit,True,False,Verizon Phone
TXN000135,2025-11-30,EXXON CHRISTOPHERSHIRE KY,-476.84,Unknown,Unknown,Unknown,False,False,Unknown
TXN000136,2025-12-01,ATM WITHDRAWAL CHASE LAKE AK,-120.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000137,2025-12-01,LOWES ALEXANDERLAND MA,-356.94,Unknown,Unknown,Unknown,False,False,Unknown
TXN000138,2025-12-02,STEAM GAMES RIY6D7,-290.49,Steam,Card Online,Purchase,True,False,Steam Gaming
TXN000139,2025-12-04,EXXON WEST AS,-213.34,Unknown,Unknown,Unknown,False,False,Unknown
TXN000140,2025-12-05,HULU 55379 USA,-144.34,Hulu,Card Online,Subscription,True,False,Hulu Streaming
TXN000141,2025-12-05,PAYPAL TRANSFER FE1B3369 RECEIVED,817.49,PayPal,Transfer,Transfer,False,False,PayPal P2P
TXN000142,2025-12-05,T-MOBILE WEST MA,-79.9,Unknown,Unknown,Unknown,False,False,Unknown
TXN000143,2025-12-05,PLAYSTATION 60488 USA,-24.72,PlayStation,Card Online,Subscription,True,False,PlayStation Gaming
TXN000144,2025-12-07,UBER THOMPSONVILLE CA,-354.5,Uber,Card Online,Purchase,True,False,Uber Rideshare
TXN000145,2025-12-08,CHIPOTLE PORT WA,-281.06,Chipotle,Card POS,Purchase,True,False,Chipotle Restaurant
TXN000146,2025-12-10,YOUTUBE PREMIUM 61184,-86.83,YouTube Premium,Card Online,Subscription,True,False,YouTube Premium Streaming
TXN000147,2025-12-11,DELTA AIR MWF4RH,-288.61,Delta Airlines,Card Online,Purchase,True,False,Delta Airlines Flight
TXN000148,2025-12-12,CASH WITHDRAWAL CHASE 60187,-120.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000149,2025-12-12,SQ *COFFEE NORTH,-470.23,Starbucks,Card POS,Purchase,True,False,Starbucks Coffee
TXN000150,2025-12-14,PANERA NORTH PR,-223.32,Unknown,Unknown,Unknown,False,False,Unknown
TXN000151,2025-12-15,CON EDISON 43110,-72.53,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000152,2025-12-15,ETSY INC GHZAAH 23971,-272.77,Etsy,Card Online,Purchase,False,False,Etsy E-commerce
TXN000153,2025-12-17,VERIZON YESENIABERG CA,-109.1,Verizon,Transfer,Direct Debit,True,False,Verizon Phone
TXN000154,2025-12-17,SOLUTIONS LLC SAL APR,1114.7,Unknown,Unknown,Credit,False,False,Unknown
TXN000155,2025-12-20,IKEA NORTH RI,-409.18,Unknown,Unknown,Unknown,False,False,Unknown
TXN000156,2025-12-21,LYFT NORTH PR,-318.33,Lyft,Card Online,Purchase,False,False,Lyft Rideshare
TXN000157,2025-12-21,SQ *COFFEE WEST,-274.58,Starbucks,Card POS,Purchase,True,False,Starbucks Coffee
TXN000158,2025-12-22,MCDS PORT,-410.07,McDonald's,Card POS,Purchase,True,False,McDonald's Fast Food
TXN000159,2025-12-22,NFLX*COM UK,-59.19,Netflix,Card Online,Subscription,True,False,Netflix Streaming
TXN000160,2025-12-25,SQ *COFFEE SHEPPARDTOWN,-498.44,Starbucks,Card POS,Purchase,True,False,Starbucks Coffee
TXN000161,2025-12-26,EXXON SOUTH MI,-470.05,Unknown,Unknown,Unknown,False,False,Unknown
TXN000162,2025-12-26,LYFT EAST DE,-40.85,Lyft,Card Online,Purchase,False,False,Lyft Rideshare
TXN000163,2025-12-27,CAR LOAN PAYMENT US BANK NOV,-142.82,Bank,Transfer,Direct Debit,True,False,Bank Car Loan
TXN000164,2025-12-30,UE *FOOD CHARLESSIDE,-103.86,McDonald's,Card POS,Purchase,True,False,McDonald's Fast Food
TXN000165,2025-12-31,EXXON SOUTH ND,-89.1,Unknown,Unknown,Unknown,False,False,Unknown
TXN000166,2026-01-01,EBAY INC X7SF3M USA,-392.04,eBay,Card Online,Purchase,True,False,eBay E-commerce
TXN000167,2026-01-02,PANERA WEST NM,-354.73,Unknown,Unknown,Unknown,False,False,Unknown
TXN000168,2026-01-02,UBER EATS NEW,-29.34,Uber Eats,Card Online,Purchase,False,False,Uber Eats Delivery
TXN000169,2026-01-04,COMCAST PORT WA,-96.05,Comcast,Transfer,Direct Debit,True,False,Comcast Internet
TXN000170,2026-01-05,HLU *STREAM 17651,-23.16,Hulu,Card Online,Subscription,True,False,Hulu Streaming
TXN000171,2026-01-05,VERIZON LAKE MN,-58.22,Verizon,Transfer,Direct Debit,True,False,Verizon Phone
TXN000172,2026-01-06,AUDIBLE MEMBERSHIP MAY,-48.99,Unknown,Unknown,Unknown,False,False,Unknown
TXN000173,2026-01-08,T-MOBILE ANITAVIEW IN,-106.55,Unknown,Unknown,Unknown,False,False,Unknown
TXN000174,2026-01-08,HLU *STREAM 24500,-75.39,Hulu,Card Online,Subscription,True,False,Hulu Streaming
TXN000175,2026-01-08,CASH WITHDRAWAL CITIBANK 16098,-120.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000176,2026-01-10,MSFT *XBOX 39345,-132.88,Xbox,Card Online,Subscription,True,False,Xbox Gaming
TXN000177,2026-01-10,NTFLX ONLINE FR,-12.15,Netflix,Card Online,Subscription,True,False,Netflix Streaming
TXN000178,2026-01-11,COMCAST LAKE AZ,-124.21,Comcast,Transfer,Direct Debit,True,False,Comcast Internet
TXN000179,2026-01-11,DELTA AIR MJR2T4,-221.07,Delta Airlines,Card Online,Purchase,False,False,Delta Airlines Flight
TXN000180,2026-01-11,VENMO PAYMENT CLARK RECEIVED,1188.15,Venmo,Transfer,Income,False,True,Venmo Freelance
TXN000181,2026-01-12,VERIZON NEW VA,-73.16,Verizon,Transfer,Direct Debit,True,False,Verizon Phone
TXN000182,2026-01-12,ATM WITHDRAWAL WELLS FARGO LEWISSIDE MP,-40.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000183,2026-01-13,EXXON NORTH MA,-141.14,Unknown,Unknown,Unknown,False,False,Unknown
TXN000184,2026-01-15,EBAY INC WGX887 USA,-281.03,eBay,Card Online,Purchase,True,False,eBay E-commerce
TXN000185,2026-01-16,STEAM GAMES AX276Z,-366.07,Steam,Card Online,Purchase,False,False,Steam Gaming
TXN000186,2026-01-17,HOME DEPOT LAKE NE,-154.67,State Farm,Transfer,Direct Debit,True,False,State Farm Home
TXN000187,2026-01-19,BEST BUY WEST OR,-17.51,Best Buy,Card POS,Purchase,False,False,Best Buy Electronics
TXN000188,2026-01-19,HBO MAX 33115 USA,-53.66,HBO Max,Card Online,Subscription,True,False,HBO Max Streaming
TXN000189,2026-01-19,ATM WITHDRAWAL US BANK NORTH NY,-120.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000190,2026-01-19,T-MOBILE RAYMONDMOUTH CT,-28.3,Unknown,Unknown,Unknown,False,False,Unknown
TXN000191,2026-01-20,DD *DELIVERY NORTH,-448.1,Instacart,Card Online,Purchase,True,False,Instacart Delivery
TXN000192,2026-01-20,DISNEY PLUS DE,-60.72,Disney+,Card Online,Subscription,True,False,Disney+ Streaming
TXN000193,2026-01-21,UBEREATS THOMASHAVEN,-263.49,Uber Eats,Card Online,Purchase,False,False,Uber Eats Delivery
TXN000194,2026-01-21,MCDS MICHAELCHESTER,-215.64,McDonald's,Card POS,Purchase,True,False,McDonald's Fast Food
TXN000195,2026-01-22,BEST BUY LAKE MA,-163.59,Best Buy,Card POS,Purchase,True,False,Best Buy Electronics
TXN000196,2026-01-23,ETSY INC 2ZE3I3 18472,-250.93,Etsy,Card Online,Purchase,True,False,Etsy E-commerce
TXN000197,2026-01-23,SPTFY 12.12,-127.7,Spotify,Card Online,Subscription,True,False,Spotify Music
TXN000198,2026-01-24,EXXON BRITTANYBERG PW,-494.8,Uber,Card Online,Purchase,True,False,Uber Rideshare
TXN000199,2026-01-25,CON EDISON 35719,-84.48,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000200,2026-01-26,APPLE STORE NORTH CA,-293.84,Apple Store,Card POS,Purchase,True,False,Apple Store Electronics
TXN000201,2026-01-26,SP * SPOTIFY 54704,-124.58,Spotify,Card Online,Subscription,True,False,Spotify Music
TXN000202,2026-01-27,CON EDISON 55757,-37.07,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000203,2026-01-27,YOUTUBE PREMIUM 13177,-130.2,YouTube Premium,Card Online,Subscription,True,False,YouTube Premium Streaming
TXN000204,2026-01-28,UBER WEST DC,-245.75,Uber,Card Online,Purchase,False,False,Uber Rideshare
TXN000205,2026-01-29,PANERA LAKE KS,-351.79,Unknown,Unknown,Unknown,False,False,Unknown
TXN000206,2026-01-29,COMCAST PORT NM,-57.75,Comcast,Transfer,Direct Debit,True,False,Comcast Internet
TXN000207,2026-01-30,AUDIBLE MEMBERSHIP FEB,-52.16,Unknown,Unknown,Unknown,False,False,Unknown
TXN000208,2026-01-30,UNITED AIR GHIDGL,-206.66,Delta Airlines,Card Online,Purchase,True,False,Delta Airlines Flight
TXN000209,2026-01-31,CASH WITHDRAWAL CITIBANK 47106,-40.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000210,2026-01-31,GRUBHUB HUNTERMOUTH,-145.31,Grubhub,Card Online,Purchase,False,False,Grubhub Delivery
TXN000211,2026-01-31,AT&T PAYMENT 60662,-81.04,AT&T,Transfer,Direct Debit,True,False,AT&T Phone
TXN000212,2026-02-01,EBAY INC KFTXCJ USA,-94.9,eBay,Card Online,Purchase,False,False,eBay E-commerce
TXN000213,2026-02-01,APPLE.COM/BILL 13712,-14.83,Apple,Card Online,Subscription,True,False,Apple Apps
TXN000214,2026-02-01,ATM WITHDRAWAL US BANK THOMASLAND TX,-40.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
TXN000215,2026-02-01,T-MOBILE AMYMOUTH MP,-41.96,Unknown,Unknown,Unknown,False,False,Unknown
TXN000216,2026-02-02,SOUTHWEST AIR LM97GH,-378.67,Delta Airlines,Card Online,Purchase,True,False,Delta Airlines Flight
TXN000217,2026-02-03,DUNKIN EAST MI,-82.78,Unknown,Unknown,Unknown,False,False,Unknown
TXN000218,2026-02-04,SQ *COFFEE ANDREWMOUTH,-118.81,Starbucks,Card POS,Purchase,False,False,Starbucks Coffee
TXN000219,2026-02-05,STARBUCKS NEW KS,-198.06,Starbucks,Card POS,Purchase,False,False,Starbucks Coffee
TXN000220,2026-02-05,SQ *COFFEE GREENBOROUGH,-330.53,Starbucks,Card POS,Purchase,True,False,Starbucks Coffee
TXN000221,2026-02-06,EBAY INC DEIOD5 USA,-369.77,eBay,Card Online,Purchase,True,False,eBay E-commerce
TXN000222,2026-02-08,WENDYS RENEECHESTER VA,-156.53,Unknown,Unknown,Unknown,False,False,Unknown
TXN000223,2026-02-09,PANERA JEFFREYMOUTH CT,-291.1,Unknown,Unknown,Unknown,False,False,Unknown
TXN000224,2026-02-09,CASH WITHDRAWAL WELLS FARGO 97771,-120.0,ATM,ATM,Withdrawal,True,False,ATM Withdrawal
